abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
,"Full bodied + smooth. Notes of dark chocolate, coffee, and dried fruit. Contains lactose.",,Ozark Cream Stout,9,Sweet Stout,Ozark Beer Company,,159,3.55/5.0,76,11,ARKANSAS,50,3.39
,"A nitrogenated draught-style ale that is creamy, malty and full-bodied. Available year-round. Our Stout is satisfyingly rich but not too heavy. Caramel and Black malts give the Stout its deep, dark color and pronounced roasted flavor.",,Core Oatmeal Stout,8,Stout,Core Brewing and Distilling,,177,3.57/5.0,84,18,ARKANSAS,81,3.46
8%,,,Vinos Imperial Stout,7,Imperial Stout,Vinos Brewpub,240,,3.54/5.0,84,16,ARKANSAS,19,3.32
8.5%,"Moody Brews offers you our maiden voyage brew, an Imperial Pale Ale. We added hops from both hemispheres to create a citrus, apricot, and tropical fruit aroma braced by a bready, toasty malt backbone. We believe good beer is best served with good company.",,Moody Brews Half Seas Over Imperial IPA,6,Imperial IPA,Moody Brews,255,80,3.89/5.0,86,8,ARKANSAS,,3.39
5.3%,Cream stout base with Guatemalan French roasted coffee added. A collaboration with Onyx Coffee Labs.,,Ozark Onyx Coffee Stout,5,Stout,Ozark Beer Company,159,,3.68/5.0,91,20,ARKANSAS,92,3.56
4%,"Hard work, honest beer.",,Ozark American Pale Ale,4,American Pale Ale,Ozark Beer Company,120,39,/,91,45,ARKANSAS,95,
,,/upload/post.asp?m=1&Id=47658,Vinos Rock Hopera Imperial IPA,3,Imperial IPA,Vinos Brewpub,,270,3.69/5.0,93,26,ARKANSAS,66,3.59
,"Our Imperial Stout has been aged in Rye Whiskey Barrels, Bourbon Barrels, and Cabernet Barrels. We’ve aged them to velvety perfection and are creating a complex and delicious blend we call Nighty Night. With an ABV of 9.8% and bold aromas and flavors of coffee and chocolate - this beer is the perfect beginning of an exciting fall and winter of rich seasonal offerings.",,Lost Forty Nighty Night,2,Imperial Stout,Lost Forty Brewing,62,,4.02/5.0,96,9,ARKANSAS,,3.7
,"Barrel Aged Double Cream Stout is a double cream stout aged in Kentucky bourbon barrels. The barrels themselves, and held the spirit for nearly 15 years. We got them wet, straight from the distillery, then filled them with the beer. Over the next 7 months, the beer aged in the barrels, taking on the elements of char, oak, vanilla and of course bourbon in the barrels.",,Ozark Bourbon Barrel Aged Double Cream Stout,1,Imperial Stout,Ozark Beer Company,72,,/,98,54,ARKANSAS,79,
,,/upload/post.asp?m=1&Id=260182,Superstition Aphrodisia Pyment - Cabernet/Syrah,24,Mead,Superstition Meadery,,420,/,99,42,ARIZONA,98,
,"Sparkling mead made with marionberries, raspberries, and blueberries",,Superstition Marion Mead - Sparkling,23,Mead,Superstition Meadery,,405,4.05/5.0,99,39,ARIZONA,98,3.95
13%,"Mead aged on peanuts and blueberry juice, which tastes amazingly like peanut butter and jelly.",/upload/post.asp?m=1&Id=402282,Superstition Peanut Butter Jelly Crime,22,Mead,Superstition Meadery,390,,/,99,56,ARIZONA,98,
,"Safe Word with coffee and Medjool dates, aged in oak.",/upload/post.asp?m=1&Id=349793,Superstition Date Night,21,Mead,Superstition Meadery,,390,4.1/5.0,100,30,ARIZONA,98,3.97
13%,"This batch of Aphrodisia (red wine grape pyment) was made by blending 3 sixty gallon New American Oak barrels of Aphrodisia equally, including the ingredients of Arizona Mesquite honey, Arizona Wildflower honey, and 3 California wine grape varietals (Cabernet, Pinot Noir & Syrah). Aphrodisia Batch 0611 on the Bottle.",/upload/post.asp?m=1&Id=392813,Superstition Aphrodisia Pyment - Cabernet/Pinot Noir/Syrah,20,Mead,Superstition Meadery,390,,/,100,41,ARIZONA,98,
,,/upload/post.asp?m=1&Id=260184,Superstition Aphrodisia Pyment - Syrah/Grenache,19,Mead,Superstition Meadery,,420,4.22/5.0,100,16,ARIZONA,98,3.98
14%,Peach & apricot mead aged on Madagascar Bourbon vanilla beans and toasted oak barrel staves.,/upload/post.asp?m=1&Id=399331,Superstition Fruit of Venus,18,Mead,Superstition Meadery,420,,4.27/5.0,100,14,ARIZONA,98,4
11%,"Russian Imperial Stout made with smoked jalapeños from McClendon Select and smoked over Arizona mesquite wood, all aged on cocoa nibs (Papa New Guinea and Belize).

Well, well. What sits in front of you, this thick, monstrous, viscous … this is the Russian Imperial Stout. This is the crème de la crème of the beer world. The empress of Russia couldn’t get enough of it. This being the US of freaking A makes this the free world’s style, thus, the American Presidential nomenclature. Catherine the Great would have sat in the Hermitage and asked why jalapeños smoked over Arizona mesquite were used. We say this to CTG: This is ’Merica and this is Wilderness. This is OUR stout. Enjoy — we poured our hearts and souls into this one!",,Arizona Wilderness American Presidential Stout,17,Imperial Stout,Arizona Wilderness Brewing Company,330,,/,100,138,ARIZONA,96,
,Trojniak style mead is a classic polish beverage. Made with honey from a small local producer: Bee Dudes. Made with pure ironwood honey,/upload/post.asp?m=1&Id=322486,Superstition Super Bee,16,Mead,Superstition Meadery,,330,4.26/5.0,100,17,ARIZONA,98,4.02
6.6%,Our brown ale brewed with whole pecan pies and dry hopped with local Arizona pecans and real vanilla beans.,,Arizona Wilderness Picacho Pecan Pie Brown Ale,15,Brown Ale,Arizona Wilderness Brewing Company,198,,4.16/5.0,100,30,ARIZONA,100,4.02
13%,Semi-sweet strawberry-vanilla mead.,,Superstition Strawberry Sunrise,14,Mead,Superstition Meadery,390,,4.34/5.0,100,14,ARIZONA,98,4.04
,"This big boy, is the big brother in our portfolio with huge coffee, bittersweet chocolate, dark caramel, roasted grain, vanilla, sweet cream & dark fruits, like plum, raisin & prunes. The flavor is a huge burst of rich coffee & cream and dark unsweetened chocolate. The fruitiness from the dark roasted malts brings in the flavors of stone fruits & creates a full almost chewy mouth feel and plenty of body. The big alcohol of this brew creates nice alcohol warmth. Along with being a desert all by itself, White Russian will pair well with big flavored foods like duck, venison, wild turkey, goose, aged cheeses like Gouda, Parmesan or sharp cheddar. If dessert is more to your liking, pair with dark chocolate truffles, chocolate cheesecake, chocolate raspberry mousse cake or a double chocolate chip cookie. Yum!",,Sun Up White Russian Imperial Stout ,13,Imperial Stout,Sun Up Brewery,65,,/,100,53,ARIZONA,97,
13.5%,"Blackberry, Blueberry, Raspberry Mead",,Superstition Marion Mead - Still,12,Mead,Superstition Meadery,405,,/,100,102,ARIZONA,98,
,"Many of you craft beer aficionados began your beer-drinking lives with yellow swill out of horse troughs and gas stations. Then, in a moment of serendipity, a certain beer graced your palate and changed your destiny of taste. If this Double IPA was given too early, the tongue of the inexperienced beer drink may shrivel up and die in the desert of hops. Not you though; you have reached your beernucopia and can appreciate massive amounts of expensive hops. Let’s see … Centennial, Chinook, Columbus, Citra, Cascade (whole cone), and Galaxy hops joined the party. A blend of malts that unifies this ale into a pint of pine, dank, citrus, mango, and pleasure. Enjoy, good person, you are a craft beer lover.",,Arizona Wilderness DC Mountain Double IPA,11,Imperial IPA,Arizona Wilderness Brewing Company,,255,/,100,49,ARIZONA,99,
13.5%,"40% Blue Berry White, 25% Straw Berry White, 20% Berry White, 15% Black Berry White...A special blend for 2016!",/upload/post.asp?m=1&Id=462188,Superstition Grand Cuv�e 2016,10,Mead,Superstition Meadery,405,,4.28/5.0,100,30,ARIZONA,99,4.13
13.5%,Grand Cru Berry aged in a Bottle Logic Fundamental Observation barrel.,/upload/post.asp?m=1&Id=462871,Superstition Grand Cru Berry FO Barrel Aged,9,Mead,Superstition Meadery,405,,4.35/5.0,100,28,ARIZONA,99,4.18
,"A blend of equal parts Berry White, Blue Berry White, Straw Berry White & Black Berry White.",/upload/post.asp?m=1&Id=359366,Superstition Grand Cru Berry,8,Mead,Superstition Meadery,,405,/,100,43,ARIZONA,99,
,American oak barrel aged dessert mead made with black berry juice and white chocolate.,/upload/post.asp?m=1&Id=335471,Superstition Black Berry White,7,Mead,Superstition Meadery,,405,/,100,49,ARIZONA,99,
,"Mead made with Arizona Mesquite Honey, Raspberry Juice and Belgian Dark Candi Sugar",/upload/post.asp?m=1&Id=335466,Superstition Framboesa Atando,6,Mead,Superstition Meadery,,360,4.34/5.0,100,37,ARIZONA,99,4.21
,,/upload/post.asp?m=1&Id=260186,Superstition Aphrodisia Pyment - Cabernet ,5,Mead,Superstition Meadery,,420,4.35/5.0,100,22,ARIZONA,99,4.16
,An American oak barrel aged dessert mead made with strawberry juice and white chocolate.,,Superstition Straw Berry White,4,Mead,Superstition Meadery,,405,/,100,53,ARIZONA,100,
,"Mead made with Arizona Mesquite Honey and Raspberry Juice, aged in a Sandeman’s Tawny Port Barrel.",/upload/post.asp?m=1&Id=335468,Superstition Endovelicus,3,Mead,Superstition Meadery,,390,4.43/5.0,100,38,ARIZONA,100,4.3
,Mead made with blueberries and white chocolate. Batch # 1801. 100 bottles.,,Superstition Blue Berry White ,2,Mead,Superstition Meadery,,405,/,100,62,ARIZONA,100,
13.5%,Mead with raspberries and white chocolate.,,Superstition Berry White,1,Mead,Superstition Meadery,405,,/,100,72,ARIZONA,100,
10%,"This beer is big, malty, slightly fruity, and high in alcohol. The higher alcohol is a result of the icing process where a portion of the water is frozen and removed from the beer. This one spent 2 years in Buffalo Trace bourbon barrels. Look for great bourbon and vanilla notes from the wood. Brilliant dark ruby red in color. Served in a snifter. Champion Winter Beer at the Great Alaska Beer and Barelywine Festival 2010, 2011, 2013.",/upload/post.asp?m=1&Id=199277,Glacier Eisbock (Buffalo Trace),24,Eisbock,Glacier Brewhouse,300,,4/5.0,98,13,ALASKA,97,3.76
,"""Combining jet black color with incredibly smooth texture and decadent coffee flavor, BREWTALITY breaks the expectations of both rich espresso and dark beer to create a whole ’nuther beast. While brutal in alcoholic strength, this biggie beautifully showcases its roasted malt and coffee flavors without bringing on bitterness and bite. This is the first of two lagers in the series.""",,Midnight Sun Brewtality,23,Imperial Porter,Midnight Sun Brewing Company,17,,/,98,164,ALASKA,86,
,Belgian sour White,/upload/post.asp?m=1&Id=163955,Anchorage The Experiment,22,Sour/Wild Ale,Anchorage Brewing Company,20,,3.95/5.0,98,17,ALASKA,89,3.76
,"Originally brewed in 2009 to celebrate Specialty Imports’ 30th Anniversary, XXX Black Double IPA is now produced each winter. XXX offers bold, American hop character — comfortably cloaked in dark, luxurious malt. This exciting “winter warmer” will take the chill right out of your bones. Curl up with this session-beer-meets-nightcap.",,Midnight Sun XXX Black Double IPA,21,Black IPA,Midnight Sun Brewing Company,87,,/,98,191,ALASKA,97,
,Belgian barley wine ale aged in High West bourbon barrels,,Midnight Sun 2014 Alaskana Series: Termination Dust,20,Barley Wine,Midnight Sun Brewing Company,70,,/,98,56,ALASKA,94,
11%,"Spending seven months in an oak bourbon barrel beautifully develops this dark strong ale’s complexity.  Dark chocolate and hints of wood in the nose introduce a palate of bourbon and sweet raisins.  At 11% abv, Oak-Aged Monk’s Mistress delivers untamed strength in character and purpose.",,Midnight Sun Monk's Mistress (Bourbon),19,Belgian Strong Ale,Midnight Sun Brewing Company,330,,/,98,43,ALASKA,98,
6.5%,IPA brewed with Mosaic and Equinox hops that we made for The White Buffalo’s new album release.,,Anchorage Love and the Death of Damnation,18,India Pale Ale (IPA),Anchorage Brewing Company,195,60,3.92/5.0,98,32,ALASKA,99,3.82
7%,"Ale brewed with Galaxy hops, coriander, kumquats, and peppercorns. Fermented and aged in French oak foudres with a wit yeast. Dry hopped with Galaxy hops. Bottle conditioned with brettanomyces and wine yeast. Drink fresh or age to bring out the funk.",,Anchorage Galaxy White IPA,17,India Pale Ale (IPA),Anchorage Brewing Company,210,50,/,98,588,ALASKA,99,
,,,Anchorage / Jolly Pumpkin Calabaza Boreal ,16,Saison,Anchorage Brewing Company,40,,/,98,240,ALASKA,98,
,"Alaskan Barley Wine has been produced in limited edition vintages each year since its introduction in 2003. A big beer for big winters, this brew has garnered a steady following in Alaska. Bottled for the first time in 2007, the balanced flavor collaboration between hops, malt and high alcohol showcases the barley wine style, winning first place at the 2007 Toronado Barley Wine Festival and bronze at the 2008 World Beer Cup.",,Alaskan Pilot Series: Barley Wine Ale,15,Barley Wine,Alaskan Brewing Company,50,,/,98,520,ALASKA,96,
,"Intriguing doses of sweet spices, cocoa nibs and pumpkin transform an exceptional porter into a mesmerizing potion. Pour this tantalizing brew into a snifter and experience its many eccentric nuances, which will delight your taste buds.",,Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter,14,Spice/Herb/Vegetable,Midnight Sun Brewing Company,30,,/,99,443,ALASKA,100,
9%,Brewed with Sorachi Ace and Styrian Golding Hops. Aged in French Oak Chardonnay barrels with brettanomyces. Triple Fermented.,,Anchorage The Tide and Its Takers Triple,13,Abbey Tripel,Anchorage Brewing Company,270,30,/,99,394,ALASKA,100,
6.5%,Ale with brettanomyces aged in fermented in oak tanks.,,Anchorage Mosaic Saison,12,Saison,Anchorage Brewing Company,195,30,/,99,278,ALASKA,99,
6.5%,"The dark, robust body and pronounced smoky flavor of this limited edition beer make it an adventuresome taste experience. Alaskan Smoked Porter is produced in limited ""vintages"" each year and, unlike most beers, may be aged in the bottle, much like fine wine.",,Alaskan Smoked Porter,11,Smoked,Alaskan Brewing Company,195,45,/,99,1779,ALASKA,100,
,Alaska’s Most Wanted Series.,,Midnight Sun Moscow,10,Imperial Stout,Midnight Sun Brewing Company,45,,/,99,175,ALASKA,90,
11.5%,"The inspiration for this beer’s name—previously, La Maitresse du Moine—is the beer itself. Its deep, intense flavors inspired the concept of a monk that seeks solace and satisfaction from the sensory pleasure and mind-provoking effects of this liquid temptress.",,Midnight Sun Monk's Mistress,9,Belgian Strong Ale,Midnight Sun Brewing Company,345,13,/,99,516,ALASKA,100,
8%,Saison brewed with spices and aged in French oak Pinot Noir barrels.,,Anchorage Love Buzz Saison,8,Saison,Anchorage Brewing Company,240,40,/,100,497,ALASKA,100,
,This years batch is totally new recipe using regular ale yeast and several high end whiskey barrels for aging.,,Anchorage Darkest Hour Imperial Stout (Whiskey),7,Imperial Stout,Anchorage Brewing Company,40,,/,100,75,ALASKA,95,
9%,"Double IPA aged in French oak Chardonnay barrels with Brett. Deep within the tortured aberrations of a monk’s mind there lay a concept of a Holy Grail of beer -- a beer oft imagined but never tasted, strived for but never achieved. It’s Belgian heritage manifested in its yeasty complexity, softened and rounded in its cooperage Français and made to sparkle like the stars first seen by his distant predecessor Dom Pérignon.
Bitter Monk Belgian Double IPA is such a beer. Redolent of citrusy hop bittering and massive malt infusion, this is a beer to ponder, to sip, and, even for a monk, to dream. Why then is the monk so bitter? What provokes that sly smile? What is he wearing under that flowing robe? A triple-fermented beer gives him three times the mystery. Remember, anything worth doing is worth over doing. Nothing exceeds like excess. Even for the cloistered.
And what rough monk, his hour come round at last, slinks slowly toward Brussels to be reborn.",,Anchorage Bitter Monk Belgian Style Double IPA,6,Imperial IPA,Anchorage Brewing Company,270,100,/,100,402,ALASKA,99,
,"Arctic Devil Barley Wine, aptly named after the ferocious wolverine of the north, is an English-style (meaning malt-inclined) barley wine. Though the recipe and process for Arctic Devil have evolved over the years, it is brewed once a year then aged in oak barrels for several months before the entire batch is blended, bottled and released. Beginning in 2010, ADBW will be released in late SEP.",,Midnight Sun Arctic Devil,5,Barley Wine,Midnight Sun Brewing Company,20,,/,100,558,ALASKA,99,
,"Smoked Imperial Stout brewed with smoked malt, molasses and brown sugar, aged in oak bourbon barrels. Somber and smoky, BARFLY saunters into the room slowly. Thick smoke. Cool swagger. Good wood. Too much brass. Sticky leather. Slow glances. Lingering looks. A bit of sass. The only thing that didn’t make the glass was maraschino cherry. Bring your own and",,Midnight Sun 2010 Pop Ten: Barfly,4,Imperial Stout,Midnight Sun Brewing Company,45,,/,100,199,ALASKA,97,
,"1 hop, 1 malt, aged in giant freshly emptied Cognac Barrels.",,Anchorage A Deal With The Devil Barleywine,3,Barley Wine,Anchorage Brewing Company,60,,/,100,228,ALASKA,100,
,"Sloth is the avoidance of physical or spiritual work.

SLOTH Belgian-style Imperial Stout is deliberately dark as hell. The pour is slow and sluggish. Its head is menacing, becoming torn and tattered Belgian lace on the sides of the glass as you cautiously consume this brew—sip by insidious sip.

The aroma is sweet from heavy malt and big alcohol with notes of vanilla, coconut and whiskey from the oak. The depth & breadth of roasted malt flavors loiters on the palate while the robust finish lingers, well, forever.

SLOTH...Just add couch.",,Midnight Sun 2007 Deadly Sins: Sloth,2,Imperial Stout,Midnight Sun Brewing Company,20,,/,100,137,ALASKA,98,
,"Vicious and viscous, this menacing brew pours opaque black with a creamy maduro-colored head. Its aroma offers seductive whiskey, chewy red wine, dark fruit and lavish tobacco. Berserker Imperial Stout invades your taste buds with in-your-face flavor. Weighing in at almost 13% alcohol by volume, Berserker is completely out-of-control. Give it a good fight.",,Midnight Sun Berserker,1,Imperial Stout,Midnight Sun Brewing Company,30,,/,100,537,ALASKA,98,
,,,Salty Nut Dahkness Stout,24,Stout,Salty Nut Brewery,,192,3.64/5.0,85,10,ALABAMA,82,3.45
,"Judge Roy Bean is an American stout brewed in collaboration with our good friends at Fairhope Roasting Company, whose House Blend is cold-brewed and added to this already decadent brew. This beer is our tribute to the beloved Eastern Shore landmark, and much like the old days at the Bean, we think you’ll love spending your holiday with Judge Roy Bean.",,Fairhope Judge Roy Bean,23,Sweet Stout,Fairhope Brewing Company,27,,3.56/5.0,87,33,ALABAMA,78,3.5
,Righ to Brew Series,,Straight To Ale Vern's Wheat Wine,22,Barley Wine,Straight To Ale,,330,3.55/5.0,87,22,ALABAMA,48,3.46
8.2%,"Copious amounts of Citra and Simcoe hops are used throughout the brewing process in this American India Pale Ale. From first-wort to bittering, flavor, aroma and dry hops, an artful combination of two extraordinary hops leads to an explosively hoppy finish on the palate.",,Fairhope (Take The) Causeway IPA,21,India Pale Ale (IPA),Fairhope Brewing Company,246,69,3.59/5.0,88,34,ALABAMA,81,3.52
7.25%,"Albert. Able. Gordo. Miss Baker. Bonny. Goliath. Between 1948 and 1961 these primate pioneers and others bravely went where no man had ever gone before, paving the way for manned U.S. spaceflight. This hoppy little monkey of a beer is a tribute to those Simian heroes of yesteryear. It has a citrusy, floral hop aroma, a strong malt body and a crisp finish.",,Straight To Ale Monkeynaut IPA,20,India Pale Ale (IPA),Straight To Ale,218,70,/,89,159,ALABAMA,82,
8%,Pinstripe Export Stout with peanut butter and caramel flavoring added.,,Blue Pants Pinstripe Candy Bar Stout,19,Foreign Stout,Blue Pants Brewery,240,,3.7/5.0,89,12,ALABAMA,66,3.52
,Available year-round.,,Avondale Vanillaphant Porter,18,Porter,Avondale Brewing Company,,189,/,90,54,ALABAMA,91,
7%,"The Painted Black IPA is one of the first examples of this new style to emerge from the South. It combines the dark-as-night color of a stout with a prominent ""Northwest"" hop aroma — citrusy, piney, and resinous. The body has some sweet malt flavors, with just a hint of roastiness and toasted malt.",,Fairhope Painted Black IPA,17,Black IPA,Fairhope Brewing Company,210,72,3.68/5.0,90,13,ALABAMA,65,3.51
,"A far cry from our original IPA, The Hitchhiker is a big floral/citrus American IPA. Aromas and flavors of pineapple, grapefruit, orange, and tangerines take center stage with a tad bit of caramel malt backbone to balance just a bit. A very dry finish with hops flavors lingering...this one is for the hopheads.",,Good People Hitchhiker American IPA,16,India Pale Ale (IPA),Good People Brewing Company,81,,3.65/5.0,91,25,ALABAMA,86,3.55
8.7%,Hoppy brilliance. This beer is a beautiful batch of hop craziness for our hop head friends. Sound the trumpet for the alluring floral tastes and smells of this wonderful double.,,Blue Pants Weedy's Double IPA,15,Imperial IPA,Blue Pants Brewery,261,175,3.67/5.0,91,19,ALABAMA,56,3.55
6%,"Big coffee flavors dominate early only to be wiped out by an enormous about of Willamette hop flavors. One of GPBC’s most requested beers. Complex and full of flavor yet amazingly sessionable. Brewed with coffee from Primavera Coffee Roasters here in Birmingham, AL.",,Good People Coffee Oatmeal Stout,14,Sweet Stout,Good People Brewing Company,180,54,/,91,123,ALABAMA,88,
,"Like Unobtanium, Illudium is an English-style Old Ale, but instead of being aged in whiskey barrels, we use cognac barrels. This imparts a wonderful, alcohol warmth and a slight spiciness.",,Straight To Ale Illudium,13,Old Ale,Straight To Ale,22,,3.65/5.0,92,36,ALABAMA,86,3.58
7.75%,"This Imperial IPA is packed with hoppy goodness from huge additions of Columbus, Chinook, Centennial, and Simcoe hops during the brewing and conditioning processes. The hops are balanced with generous amounts of American two row and Crystal malts. If you like hops, this one is for you!",,Straight To Ale Monkey's Uncle IIPA,12,Imperial IPA,Straight To Ale,232,,3.7/5.0,92,22,ALABAMA,65,3.59
12%,,,Beer Engineers Peanut Butter Porter,11,Imperial Porter,Beer Engineers,360,,3.77/5.0,93,20,ALABAMA,49,3.53
13%,"A variant of the same old ale used as the base beer for Unobtanium and Illudium, it has been spiked with subtle hints of coffee and raspberry and a full-on dose of rich chocolate. It is deceptively smooth, sweet and delicious.",,Straight To Ale Velvet Evil,10,Old Ale,Straight To Ale,390,,3.71/5.0,93,27,ALABAMA,88,3.61
8.5%,"First debuted at the 2009 Magic City Brewfest as the first Imperial Stout legally brewed in Alabama. This bottle conditioned version was brewed especially for the County Line Series.  A huge, viscous, full-bodied, dark as night, imperial stout yet somehow amazingly drinkable. Big aromas and flavors, including cherries and raspberries, roasted malts, dark chocolate, and spiced rum.  It’s recommeded to serve in the low to mid 50s as the flavors really explode when allowed to come up in temperature.  ABV 8.5%, 72 bottles.",,Good People Fatso Imperial Stout,9,Imperial Stout,Good People Brewing Company,255,,3.69/5.0,94,38,ALABAMA,46,3.62
,"Unobtanium is a barrel-aged English-style Old Ale that ages for six months in a bourbon barrel, soaking up all sorts of amazing whiskey character as well as hints of oak and vanilla. The name was taken from an old aerospace/engineering term for a specific material or object (often imaginary, impossible or highly improbable to obtain) needed to complete any given project. And, before you ask, we did not take the name from the elusive metal in Avatar. James Cameron reportedly named the substance as an inside joke to his fellow techie/gear-heads. Our version is much tastier, though.",,Straight To Ale Unobtanium,8,Old Ale,Straight To Ale,68,,/,95,69,ALABAMA,90,
9%,"The bigger, badder brother to our flagship Monkeynaut IPA, this beer definitely shoots for the moon. A supernova of citrusy hop aroma and flavor up front and a sweet malty backbone make this an aggressive yet well-balanced beer. It finishes with a smooth, lingering hop bitterness. If you’ve ever wondered what an 800-lb. gorilla in a spacesuit drinks, well, the answer is Tang, of course ... but when he’s back on Earth and in the mood for a big beer, he reaches for this.",,Straight To Ale Gorillanaut Imperial IPA,7,Imperial IPA,Straight To Ale,270,275,3.76/5.0,96,30,ALABAMA,81,3.66
9.3%,"A big, joyous celebration of all things hoppy (5 different varities). Large flavors and aroma of pine, citrus, flowers, spice, pineapple, and grassiness complimented with a touch of biscuit and caramel backbone. Our most requested beer.",,Good People Snake Handler,6,Imperial IPA,Good People Brewing Company,279,103,/,96,117,ALABAMA,85,
11.8%,Straight To Ale Barrel Aged Laika Russian Imperial Stout which has been aged in Cabernet Wine Barrels for about 9 months.,,Straight To Ale Laika Russian Imperial Stout - Cabernet Barrel Aged,5,Imperial Stout,Straight To Ale,354,,/,96,49,ALABAMA,58,
7.5%,This brew is our regular Saison aged in french oak red wine barrels for 8 months with brettanomyces and lactobaccilus. The end result? A mixed flavor of tart/sour and fruit.,/upload/post.asp?m=1&Id=216819,Avondale Barrel Aged Brett Saison,4,Saison,Avondale Brewing Company,225,,4.01/5.0,97,9,ALABAMA,,3.69
,"Second offering from the ""Right to Brew"" series and was crafted by John Tipton. Draft only.",,Straight To Ale Laika Russian Imperial Stout,3,Imperial Stout,Straight To Ale,74,,/,97,66,ALABAMA,69,
11.7%,,,Straight To Ale Laika Russian Imperial Stout - Bourbon Barrel Aged,2,Imperial Stout,Straight To Ale,351,,/,97,55,ALABAMA,70,
13.9%,,,Good People El Gordo Imperial Stout,1,Imperial Stout,Good People Brewing Company,417,65,4.08/5.0,99,17,ALABAMA,88,3.87
,"In 2013, two nine-gallon casks were filled with Buffalo Sweat and a handful of vanilla beans, and were stored in Tallgrass founder Jeff Gill’s office. A few weeks later, Jeff entered his office to find one of casks had exploded, spraying beer all over his office and leaving a hole in the ceiling above his desk shaped exactly like the cork bung used to seal the cask. Thankfully, the other cask did not explode. That night at an event in Wichita, Kansas, the beer was so well-received, it immediately got the call to become the brewery’s winter seasonal.",,Tallgrass Vanilla Bean Buffalo Sweat,15,Sweet Stout,Tallgrass Brewing Company,20,,/,93,229,KANSAS,93,
,"Parish Dr. Hoptagon is a badass Black IPA. Pleasantly offensive, this serum is bursting with bitter hops and black roasted malts. If you prefer weak, yellow beer or rainbow pooping unicorns, put this bottle down and slowly back away. Don’t question why this beer is bottle-conditioned. It’s just better that way.",,Parish Dr Hoptagon,25,Black IPA,Parish Brewing Company,,225,3.62/5.0,88,20,LOUISIANA,63,3.51
,"A blend of two year old, 1.5 year old, and 6 month old spontaneous beer. Alc. 6.0% Vol",,Allagash Coolship Resurgam,25,Lambic Style - Gueuze,Allagash Brewing Company,,180,/,99,214,MAINE,62,
,"A ful bodied, single barrel bourbon aged imperial stout with smooth roasted malt flavors and rich aromas of espresso and dark chocoloate.  Aged for 6 months inside charred Kentucky white oak bourbon barrels with cocoa nibs to add the natural vanilla and caramelized sugar flavors of the wood, and the bittersweet chocolate, and slick, velvety mouthfeel of the cocoa to the beer.  Its time to savor some...Sweet Justice.",,DuClaw Cocoa Retribution,25,Imperial Stout,DuClaw Brewing Company,,345,3.91/5.0,97,14,MARYLAND,68,3.7
6.7%,"In 2014, I brewed an American Pale Ale - Beneficiaries of Chance - in celebration of marrying the love of my life, Lauren (aka Tree House L-Dog).  On the eve of our first anniversary, I brewed another beer for Lauren, In Perpetuity.  It hopes to celebrate foreverness - in love, passion, and regardless of circumstance - the notion that what is good and beloved will last forever.  In Perpetuity is brewed with a simple malt bill and two of my favorite hops - Citra, and Nelson.  It pours a hazy bright orange in the glass and mixes notes of tropical fruit with a strong citrus backbone.  Soft, and eminently drinkable.  I hope you enjoy it.",,Tree House In Perpetuity,25,India Pale Ale (IPA),Tree House Brewing Company,201,,/,100,47,MASSACHUSETTS,100,
13.2%,"Expedition Stout aged in Traverse City Whiskey barrels. Vanilla, bourbon, nutty, chocolate, warming.",,Bell's Traverse City Whiskey Barrel-Aged Expedition Stout,25,Imperial Stout,Bell�s Brewery,396,,/,100,100,MICHIGAN,98,
10.98%,We intended to make a traditional English-style barleywine.  Then Mike found a local maple syrup producer and we topped off with just a touch of smoked malt . . . finishing with a very Twisted Reality.,/upload/post.asp?m=1&Id=55118,Town Hall Twisted Reality Barleywine,25,Barley Wine,Minneapolis Town Hall Brewery,329,,3.93/5.0,99,35,MINNESOTA,96,3.83
,"A sinister brew with a seductive balance of sweetness, resinous pine and citrus aromas.",,Lazy Magnolia Me and the Dev-Ale,25,American Strong Ale,Lazy Magnolia Brewing Company,,255,/,63,66,MISSISSIPPI,29,
,Biere Brut/Wild Ale aged and natively refermented in Chardonnay barrels with Missouri Chardonel grapes.,,Side Project Blanc de Blancs,25,Sour/Wild Ale,Side Project Brewing,,300,4.08/5.0,99,28,MISSOURI,98,3.94
8.74%,,,Bitter Root Red Dread,25,American Strong Ale,Bitter Root Brewing,262,,3.56/5.0,86,20,MONTANA,51,3.46
,Coffee finds a natural and pleasing fit with the sugars found in our Fathead Barleywine. The combination leads with coffee aromatics while allowing the rich flavorful stature of this award winning barleywine to shine through in the finish. Decadent and delicious. Crafted to enjoy with friends.,,Nebraska Inception Series Coffee Fathead ,25,Barley Wine,Nebraska Brewing Company,33,,3.7/5.0,85,9,NEBRASKA,,3.47
,"100 % Brett Ale aged in wine barrels 

1904 being the year Brettanomyces (meaning ""British Fungus"") was discovered. This 100% Brettanomyces fermented Ale is part of our American barrel program. This golden ale is fermented in white wine barrels for a period of 4-6 months as the flavors and aromas develop. An earthy nose of dried flowers and straw lure you in to this dry farmhouse beer.",,Saint James 1904,25,Sour/Wild Ale,Brasserie Saint James,,225,3.56/5.0,85,24,NEVADA,44,3.47
